cve_id,success
CVE-2016-2538,True
CVE-2016-2538,True
CVE-2016-2538,True
CVE-2016-2841,True
CVE-2016-3062,True
CVE-2016-4817,False
CVE-2016-4817,False
CVE-2016-4817,True
CVE-2017-9732,True
CVE-2017-9732,False
CVE-2018-19134,False
CVE-2018-19134,False
CVE-2018-19134,False
CVE-2018-19134,True
CVE-2018-20330,True
CVE-2018-20349,True
CVE-2018-20349,True
CVE-2014-125017,False
CVE-2021-46822,True
CVE-2021-46822,True
CVE-2022-33981,False
CVE-2014-125018,False
CVE-2014-125019,True
CVE-2014-125019,True
CVE-2014-125020,True
CVE-2014-125020,True
CVE-2014-125020,False
CVE-2014-125021,True
CVE-2014-125022,False
CVE-2014-125023,False
CVE-2014-125024,True
CVE-2014-125025,True
CVE-2022-2124,True
CVE-2022-2125,True
CVE-2022-2129,True
CVE-2022-1720,False
CVE-2022-31306,True
CVE-2022-31307,False
CVE-2022-32414,True
CVE-2022-32414,False
CVE-2022-32414,True
CVE-2022-32414,True
CVE-2022-2175,True
CVE-2022-33033,False
CVE-2022-33068,True
CVE-2022-33069,True
CVE-2022-33070,True
CVE-2022-33070,False
CVE-2022-33070,False
CVE-2022-33070,True
CVE-2022-33070,False
CVE-2022-33105,True
CVE-2022-34295,True
CVE-2022-34295,True
CVE-2022-34295,False
CVE-2022-34299,False
CVE-2022-34299,True
CVE-2022-34300,True
CVE-2022-2182,True
CVE-2022-2183,False
CVE-2022-32990,False
CVE-2022-34494,False
CVE-2022-34495,False
CVE-2022-2206,True
CVE-2022-2207,False
CVE-2022-2208,True
CVE-2022-2208,True
CVE-2022-2210,True
CVE-2021-40607,True
CVE-2021-40608,False
CVE-2021-40608,True
CVE-2021-40609,True
CVE-2021-40944,True
CVE-2021-41687,True
CVE-2021-41687,False
CVE-2021-41687,False
CVE-2021-41687,False
CVE-2021-41689,False
CVE-2022-2231,True
CVE-2022-34835,True
CVE-2022-34835,True
CVE-2022-34835,False
CVE-2022-34835,True
CVE-2022-34835,False
CVE-2022-34835,False
CVE-2022-34835,False
CVE-2022-1852,False
CVE-2022-1852,True
CVE-2022-2078,True
CVE-2022-2078,True
CVE-2022-2056,True
CVE-2022-2056,True
CVE-2022-2056,False
CVE-2022-2257,False
CVE-2022-2279,True
CVE-2022-2279,True
CVE-2022-2264,False
CVE-2022-33099,True
CVE-2022-33099,True
CVE-2022-2284,True
CVE-2022-2285,True
CVE-2022-2286,True
CVE-2022-2287,True
CVE-2022-2287,False
CVE-2022-2288,False
CVE-2022-2289,True
CVE-2022-2301,True
CVE-2022-34918,True
CVE-2022-26365,True
CVE-2022-26365,True
CVE-2022-26365,True
CVE-2022-26365,True
CVE-2022-26365,True
CVE-2022-2304,True
CVE-2022-2318,False
CVE-2022-2318,False
CVE-2022-2318,True
CVE-2022-2318,True
CVE-2022-2318,False
CVE-2022-2318,True
CVE-2022-2318,True
CVE-2022-2318,True
CVE-2022-2318,True
CVE-2022-2318,True
CVE-2022-2318,False
CVE-2022-2318,True
CVE-2022-31135,True
CVE-2022-31135,True
CVE-2022-2343,False
CVE-2022-2343,True
CVE-2022-2344,True
CVE-2022-2345,False
CVE-2022-35414,True
CVE-2022-35414,True
CVE-2016-10749,True
