cve_id,success
CVE-2023-29206,False
CVE-2023-29206,False
CVE-2023-29206,True
CVE-2023-29206,False
CVE-2023-29206,False
CVE-2023-29206,False
CVE-2023-29206,True
CVE-2023-29208,True
CVE-2023-29208,True
CVE-2023-29208,False
CVE-2023-29208,False
CVE-2023-29211,False
CVE-2023-29506,True
CVE-2023-29507,True
CVE-2023-29507,False
CVE-2023-29507,True
CVE-2023-29213,True
CVE-2023-29510,True
CVE-2023-29515,True
CVE-2023-29515,True
CVE-2023-29515,False
CVE-2023-29523,True
CVE-2023-29528,False
CVE-2023-29528,True
CVE-2023-29638,True
CVE-2023-29638,True
CVE-2023-25826,False
CVE-2023-25826,True
CVE-2023-25826,True
CVE-2023-25826,False
CVE-2023-25826,True
CVE-2023-25826,True
CVE-2023-25826,True
CVE-2023-25826,True
CVE-2023-25826,False
CVE-2023-25827,False
CVE-2023-25827,True
CVE-2023-25827,False
CVE-2023-25827,True
CVE-2023-30216,False
CVE-2023-31126,True
CVE-2023-32070,True
CVE-2023-32070,False
CVE-2023-32070,False
CVE-2023-32070,True
CVE-2023-32070,True
CVE-2023-32070,True
CVE-2023-32070,True
CVE-2023-32070,True
CVE-2023-32070,True
CVE-2023-32070,True
CVE-2023-32070,True
CVE-2023-32070,True
CVE-2023-32070,True
CVE-2023-32070,True
CVE-2023-32070,True
CVE-2023-32070,True
CVE-2023-32070,False
CVE-2023-32070,False
CVE-2023-32070,True
CVE-2023-32081,True
CVE-2023-32081,False
CVE-2023-31544,True
CVE-2023-33264,True
CVE-2023-33264,True
CVE-2023-33264,True
CVE-2023-33264,True
CVE-2023-2798,False
CVE-2023-2798,False
CVE-2023-32699,False
CVE-2023-33962,False
CVE-2023-33962,True
CVE-2023-32310,True
CVE-2023-34612,True
CVE-2023-34620,True
CVE-2023-34620,False
CVE-2023-34620,True
CVE-2023-34620,False
CVE-2023-34620,True
CVE-2023-2976,True
CVE-2023-2976,False
CVE-2023-2976,False
CVE-2023-2976,False
CVE-2023-34453,True
CVE-2023-34453,False
CVE-2023-34453,True
CVE-2023-34453,True
CVE-2023-34453,True
CVE-2023-34454,True
CVE-2023-34454,False
CVE-2023-34454,False
CVE-2023-34454,True
CVE-2023-34454,False
CVE-2023-34454,True
CVE-2023-34455,True
CVE-2022-23612,False
CVE-2022-23612,True
CVE-2021-44550,True
CVE-2021-44550,False
CVE-2021-45746,True
CVE-2022-0265,True
CVE-2022-0265,True
CVE-2020-36518,False
CVE-2020-36518,True
CVE-2020-36518,False
CVE-2020-36518,False
CVE-2022-24721,True
CVE-2022-24721,True
CVE-2022-24721,True
CVE-2022-24721,True
CVE-2021-22571,False
CVE-2021-44139,True
CVE-2022-0981,False
CVE-2021-22572,True
CVE-2021-22572,False
CVE-2022-27047,True
CVE-2022-27476,True
CVE-2022-27476,True
CVE-2022-27477,True
CVE-2022-27477,True
CVE-2022-24832,True
CVE-2022-24832,True
CVE-2022-24839,False
CVE-2024-23683,True
CVE-2024-23683,False
CVE-2024-23683,False
CVE-2024-23689,True
CVE-2024-0822,False
CVE-2024-0822,True
CVE-2024-24565,True
CVE-2024-24565,False
CVE-2024-22779,False
CVE-2024-24823,True
CVE-2024-24824,True
CVE-2024-24824,False
CVE-2024-24824,True
CVE-2014-9908,False
CVE-2019-20363,True
CVE-2013-6430,True
CVE-2020-7226,False
CVE-2020-7226,False
CVE-2020-7226,False
CVE-2020-7226,True
CVE-2020-7226,True
CVE-2020-7226,False
CVE-2020-7226,True
CVE-2020-7226,True
CVE-2020-7226,False
CVE-2020-7226,False
CVE-2020-7226,True
CVE-2020-7226,True
CVE-2020-7226,False
CVE-2020-7226,True
CVE-2020-7226,True
CVE-2020-7226,False
CVE-2020-7226,False
CVE-2020-7226,False
CVE-2020-7226,True
CVE-2014-4172,False
CVE-2014-4172,False
CVE-2019-20444,True
CVE-2015-5377,True
CVE-2015-5377,False
CVE-2015-5377,True
CVE-2018-1000125,False
CVE-2018-1000125,False
CVE-2018-1000125,True
CVE-2018-1000129,True
CVE-2018-1000129,True
CVE-2018-1000129,True
CVE-2018-1000129,False
CVE-2018-1000129,True
CVE-2018-1000129,True
CVE-2018-9159,True
CVE-2018-9159,False
CVE-2018-9159,True
CVE-2018-9159,True
CVE-2018-9159,True
CVE-2017-2603,True
CVE-2018-11248,True
CVE-2018-11248,True
CVE-2018-11248,False
CVE-2018-11248,False
CVE-2018-11248,True
CVE-2017-2598,False
CVE-2017-2598,True
